Date,Product Code,Sales Quantity,Sales Revenue,Category,RAM,ROM,Model,Promo 1,Promo 2,Lead Time (days)
2018-01-01,1001,29,2320000,Samsung,4,256,S23 Ultra,Yes,Yes,13
2018-01-01,1002,21,1470000,Apple,4,256,Iphone 14 Pro Max,No,No,13
2018-01-01,1003,42,3360000,Huawei,4,512,P50 Ultra,No,Yes,14
2018-01-01,1004,31,4340000,Sony,4,256,Xperia 1,Yes,No,5
2018-01-01,1005,22,3080000,Oppo,8,64,Find x4,Yes,No,6
2018-01-01,1006,49,7840000,Vivo,4,64,X80,No,Yes,13
2018-01-01,1007,23,4140000,IQOO,12,128,11,No,No,6
2018-01-01,1008,47,5170000,Xiaomi,8,128,13 Ultra,Yes,Yes,8
2018-01-01,1009,38,5700000,Realme,4,64,GT4,No,Yes,7
2018-01-01,2001,5,300000,Oneplus,16,64,10 pro,Yes,No,10
2018-01-01,2002,40,3600000,Poco,6,256,X4 Pro 5G,No,No,6
2018-01-01,2003,16,1280000,Motorola,8,64,Edge Plus,Yes,No,8
2018-01-01,2004,3,480000,Nokia,12,128,X30 5G,Yes,Yes,13
2018-01-02,1001,18,3600000,Samsung,16,64,S23 Ultra,Yes,Yes,6
2018-01-02,1002,21,2940000,Apple,4,64,Iphone 14 Pro Max,No,No,10
2018-01-02,1003,41,3280000,Huawei,6,512,P50 Ultra,No,Yes,9
2018-01-02,1004,47,6580000,Sony,6,128,Xperia 1,Yes,Yes,7
2018-01-02,1005,30,2400000,Oppo,16,128,Find x4,Yes,Yes,8
2018-01-02,1006,49,5390000,Vivo,4,512,X80,No,Yes,9
2018-01-02,1007,19,1520000,IQOO,4,128,11,No,No,10
2018-01-02,1008,37,1850000,Xiaomi,12,256,13 Ultra,No,No,9
2018-01-02,1009,12,720000,Realme,6,256,GT4,No,No,14
2018-01-02,2001,20,1800000,Oneplus,16,64,10 pro,No,Yes,5
2018-01-02,2002,13,1040000,Poco,6,64,X4 Pro 5G,No,Yes,10
2018-01-02,2003,14,1120000,Motorola,6,256,Edge Plus,Yes,No,11
2018-01-02,2004,40,2400000,Nokia,4,256,X30 5G,Yes,No,8
2018-01-03,1001,46,6900000,Samsung,16,128,S23 Ultra,Yes,Yes,8
2018-01-03,1002,26,2600000,Apple,6,128,Iphone 14 Pro Max,No,No,10
2018-01-03,1003,9,900000,Huawei,8,128,P50 Ultra,Yes,Yes,10
2018-01-03,1004,35,2450000,Sony,12,256,Xperia 1,No,Yes,6
2018-01-03,1005,1,80000,Oppo,12,128,Find x4,No,Yes,11
2018-01-03,1006,42,5040000,Vivo,4,512,X80,No,No,13
2018-01-03,1007,23,4600000,IQOO,8,256,11,Yes,No,8
2018-01-03,1008,20,3200000,Xiaomi,8,128,13 Ultra,Yes,Yes,7
2018-01-03,1009,36,6480000,Realme,6,128,GT4,No,Yes,5
2018-01-03,2001,35,4200000,Oneplus,6,64,10 pro,No,No,10
2018-01-03,2002,36,1800000,Poco,8,128,X4 Pro 5G,No,No,7
2018-01-03,2003,45,4500000,Motorola,12,128,Edge Plus,No,Yes,6
