Date,Product Code,Sales Quantity,Sales Revenue,Category,Size,Color,Material,Promo 1,Promo 2,Lead Time (days)
2020-01-01,1001,27,270,T-Shirts,XXL,Yellow,Cotton,Yes,Yes,14
2020-01-01,1002,49,882,Top,XL,Yellow,Polyester,Yes,No,7
2020-01-01,2001,32,320,Pants,XL,Blue,Cotton,Yes,Yes,10
2020-01-02,1001,14,126,T-Shirts,M,White,Cotton,No,Yes,7
2020-01-02,1002,46,276,Top,XXL,White,Polyester,No,Yes,12
2020-01-02,2001,24,264,Pants,S,White,Cotton,Yes,Yes,14
2020-01-03,1001,32,352,T-Shirts,XL,Red,Cotton,No,No,10
2020-01-03,1002,14,98,Top,M,Black,Polyester,No,Yes,7
2020-01-03,2001,15,120,Pants,XXL,Yellow,Cotton,Yes,No,14
2020-01-04,1001,6,120,T-Shirts,L,Black,Cotton,Yes,Yes,9
2020-01-04,1002,19,361,Top,S,Red,Polyester,No,No,9
2020-01-04,2001,50,850,Pants,M,Blue,Cotton,Yes,No,13
2020-01-05,1001,20,360,T-Shirts,M,Yellow,Cotton,Yes,Yes,7
2020-01-05,1002,20,400,Top,L,Yellow,Polyester,No,No,8
2020-01-05,2001,50,300,Pants,S,White,Cotton,No,Yes,12
2020-01-06,1001,3,33,T-Shirts,M,Green,Cotton,No,Yes,13
2020-01-06,1002,24,408,Top,XL,Red,Polyester,No,No,12
2020-01-06,2001,29,261,Pants,S,Red,Cotton,Yes,Yes,8
2020-01-07,1001,34,374,T-Shirts,XXL,Yellow,Cotton,No,Yes,5
2020-01-07,1002,4,60,Top,XL,Yellow,Polyester,No,Yes,10
2020-01-07,2001,13,247,Pants,XXL,White,Cotton,Yes,Yes,8
2020-01-08,1001,9,54,T-Shirts,XL,Blue,Cotton,No,Yes,9
2020-01-08,1002,46,920,Top,M,Black,Polyester,Yes,Yes,14
2020-01-08,2001,31,527,Pants,M,Blue,Cotton,Yes,Yes,13
2020-01-09,1001,34,510,T-Shirts,M,Green,Cotton,No,No,11
2020-01-09,1002,50,850,Top,XL,Black,Polyester,Yes,No,6
2020-01-09,2001,14,140,Pants,XL,Yellow,Cotton,Yes,No,13
2020-01-10,1001,47,658,T-Shirts,S,Black,Cotton,No,Yes,6
2020-01-10,1002,36,288,Top,XXL,Green,Polyester,Yes,Yes,11
2020-01-10,2001,33,198,Pants,XL,Blue,Cotton,No,Yes,6
2020-01-11,1001,4,64,T-Shirts,M,Red,Cotton,No,Yes,10
2020-01-11,1002,7,84,Top,XXL,Black,Polyester,Yes,Yes,10
2020-01-11,2001,46,874,Pants,L,Black,Cotton,Yes,No,5
2020-01-12,1001,29,493,T-Shirts,L,Blue,Cotton,Yes,No,6
2020-01-12,1002,27,405,Top,S,Green,Polyester,Yes,Yes,5
2020-01-12,2001,49,882,Pants,M,Black,Cotton,No,No,13
2020-01-13,1001,26,156,T-Shirts,L,Black,Cotton,No,Yes,6
2020-01-13,1002,23,230,Top,XL,Black,Polyester,No,No,11
2020-01-13,2001,8,120,Pants,XL,Black,Cotton,No,No,7
2020-01-14,1001,16,80,T-Shirts,M,Black,Cotton,No,No,9
2020-01-14,1002,34,680,Top,M,Black,Polyester,No,No,8
2020-01-14,2001,32,192,Pants,XXL,Yellow,Cotton,Yes,No,10
2020-01-15,1001,25,200,T-Shirts,XXL,Blue,Cotton,Yes,Yes,7
2020-01-15,1002,46,598,Top,XL,Black,Polyester,Yes,No,13
2020-01-15,2001,24,216,Pants,M,Black,Cotton,Yes,Yes,12
2020-01-16,1001,24,480,T-Shirts,M,Yellow,Cotton,No,Yes,8
2020-01-16,1002,20,340,Top,XXL,Blue,Polyester,No,Yes,5
2020-01-16,2001,9,144,Pants,XXL,Yellow,Cotton,Yes,No,11
2020-01-17,1001,10,90,T-Shirts,XL,Green,Cotton,No,Yes,5
2020-01-17,1002,16,128,Top,L,Yellow,Polyester,Yes,No,7
2020-01-17,2001,25,375,Pants,S,Yellow,Cotton,Yes,No,7
2020-01-18,1001,47,752,T-Shirts,L,Green,Cotton,Yes,No,9
2020-01-18,1002,43,645,Top,M,White,Polyester,No,Yes,8
2020-01-18,2001,16,192,Pants,S,White,Cotton,No,Yes,14
2020-01-19,1001,24,432,T-Shirts,XXL,Red,Cotton,Yes,No,9
2020-01-19,1002,13,169,Top,S,Black,Polyester,Yes,Yes,10
2020-01-19,2001,19,285,Pants,L,Red,Cotton,No,Yes,7
2020-01-20,1001,4,68,T-Shirts,XXL,Blue,Cotton,No,No,14
2020-01-20,1002,2,20,Top,L,Blue,Polyester,Yes,Yes,12
2020-01-20,2001,8,88,Pants,S,Yellow,Cotton,Yes,Yes,12
2020-01-21,1001,2,14,T-Shirts,L,White,Cotton,Yes,No,11
2020-01-21,1002,39,741,Top,XL,Red,Polyester,Yes,Yes,13
2020-01-21,2001,25,300,Pants,XL,Red,Cotton,No,Yes,8
2020-01-22,1001,50,650,T-Shirts,XL,White,Cotton,Yes,Yes,10
2020-01-22,1002,49,784,Top,M,Blue,Polyester,Yes,Yes,14
2020-01-22,2001,36,468,Pants,L,Blue,Cotton,No,Yes,9
2020-01-23,1001,21,252,T-Shirts,M,Yellow,Cotton,No,Yes,11
2020-01-23,1002,31,403,Top,M,Green,Polyester,Yes,No,8
2020-01-23,2001,9,144,Pants,S,White,Cotton,No,Yes,5
2020-01-24,1001,5,65,T-Shirts,S,Yellow,Cotton,No,No,8
2020-01-24,1002,23,207,Top,XXL,Yellow,Polyester,No,No,5
2020-01-24,2001,42,210,Pants,M,White,Cotton,No,No,14
2020-01-25,1001,2,20,T-Shirts,L,White,Cotton,Yes,No,7
2020-01-25,1002,32,320,Top,XXL,Blue,Polyester,Yes,No,13
2020-01-25,2001,12,240,Pants,XL,Green,Cotton,Yes,No,11
2020-01-26,1001,19,361,T-Shirts,XXL,Blue,Cotton,No,Yes,10
2020-01-26,1002,3,57,Top,M,Yellow,Polyester,Yes,No,10
2020-01-26,2001,42,588,Pants,S,White,Cotton,Yes,Yes,8
2020-01-27,1001,41,205,T-Shirts,XXL,Blue,Cotton,No,No,6
2020-01-27,1002,33,594,Top,XXL,Yellow,Polyester,Yes,No,8
2020-01-27,2001,49,392,Pants,L,Green,Cotton,No,No,9
2020-01-28,1001,26,130,T-Shirts,XL,Yellow,Cotton,No,Yes,14
2020-01-28,1002,39,234,Top,XXL,Black,Polyester,No,No,13
2020-01-28,2001,30,420,Pants,XL,Yellow,Cotton,No,Yes,5
2020-01-29,1001,33,330,T-Shirts,M,Green,Cotton,Yes,Yes,12
2020-01-29,1002,45,675,Top,XXL,Red,Polyester,Yes,Yes,7
2020-01-29,2001,23,276,Pants,S,Red,Cotton,Yes,Yes,13
2020-01-30,1001,26,442,T-Shirts,L,Green,Cotton,Yes,Yes,8
2020-01-30,1002,21,357,Top,L,Black,Polyester,No,Yes,11
2020-01-30,2001,35,560,Pants,XXL,Yellow,Cotton,Yes,No,11
2020-01-31,1001,4,48,T-Shirts,L,Blue,Cotton,No,No,13
2020-01-31,1002,22,286,Top,L,Red,Polyester,No,Yes,11
2020-01-31,2001,7,49,Pants,M,Red,Cotton,No,No,8
2020-02-01,1001,7,105,T-Shirts,S,Black,Cotton,No,Yes,10
2020-02-01,1002,41,492,Top,XXL,Black,Polyester,Yes,No,14
2020-02-01,2001,8,144,Pants,L,Blue,Cotton,Yes,No,12
2020-02-02,1001,3,51,T-Shirts,S,Yellow,Cotton,No,Yes,14
2020-02-02,1002,13,260,Top,XXL,Green,Polyester,No,Yes,13
2020-02-02,2001,44,220,Pants,S,Red,Cotton,Yes,No,13
2020-02-03,1001,32,448,T-Shirts,XXL,Green,Cotton,No,Yes,8
2020-02-03,1002,8,152,Top,L,Yellow,Polyester,No,Yes,9
2020-02-03,2001,50,250,Pants,M,Blue,Cotton,Yes,No,6
2020-02-04,1001,39,429,T-Shirts,XL,Yellow,Cotton,No,No,13
2020-02-04,1002,7,119,Top,XXL,Black,Polyester,Yes,No,12
2020-02-04,2001,25,400,Pants,XL,Green,Cotton,No,Yes,14
2020-02-05,1001,42,840,T-Shirts,L,Blue,Cotton,No,Yes,12
2020-02-05,1002,33,528,Top,S,Black,Polyester,Yes,No,14
2020-02-05,2001,36,252,Pants,XXL,White,Cotton,Yes,No,5
2020-02-06,1001,45,630,T-Shirts,M,Green,Cotton,No,No,9
2020-02-06,1002,47,799,Top,S,Red,Polyester,Yes,No,14
2020-02-06,2001,19,304,Pants,XXL,White,Cotton,Yes,Yes,5
2020-02-07,1001,25,250,T-Shirts,L,White,Cotton,No,No,9
2020-02-07,1002,28,448,Top,XL,Green,Polyester,Yes,No,8
2020-02-07,2001,20,360,Pants,S,Blue,Cotton,No,Yes,5
2020-02-08,1001,46,368,T-Shirts,M,White,Cotton,Yes,No,12
