Date,Product Code,Sales Quantity,Sales Revenue,Category,Size,Color,Material,Promo 1,Promo 2,Lead Time (days)
2017-01-01,1001,26,312,T-Shirts,XXS,White,Cotton,No,Yes,14
2017-01-01,1002,45,495,Top,XL,Blue,Polyester,Yes,No,13
2017-01-01,2001,37,518,Pants,S,Black,Cotton,Yes,No,10
2017-01-01,2002,33,363,Jeans,XL,Red,Denim,No,No,10
2017-01-01,3001,25,250,Dress,XL,Red,Chiffon,No,Yes,5
2017-01-01,3002,8,88,Skirt,XS,Green,Cotton,No,Yes,9
2017-01-01,3003,31,186,Jumpsuit,XS,Blue,Silk,No,No,5
2017-01-01,4001,19,361,Sweater,XXL,Red,Wool,Yes,No,8
2017-01-01,4002,25,325,Cardigan,XXS,Red,Cashmere,No,No,5
2017-01-01,5001,48,960,Blouse,XS,Black,Silk,No,Yes,8
2017-01-01,5002,34,442,Jacket,XS,Green,Leather,No,Yes,9
2017-01-01,6001,9,117,Shorts,M,Red,Denim,No,No,7
2017-01-01,6002,2,18,Leggings,XXL,Red,Spandex,No,No,14
2017-01-01,7001,11,154,Coat,XL,Yellow,Wool,No,No,10
2017-01-01,7002,40,200,Parka,XS,Black,Nylon,No,No,8
2017-01-01,7003,15,270,Trench Coat,XS,Green,Cotton,No,Yes,7
2017-01-01,8001,19,133,Hoodie,XXS,Yellow,Cotton,Yes,No,5
2017-01-01,8002,33,396,Sweatshirt,XXS,Yellow,Polyester,Yes,No,5
2017-01-01,9001,1,20,Blazer,L,White,Cotton,No,No,9
2017-01-01,9002,32,576,Suit,XXS,Blue,Wool,Yes,No,6
2017-01-01,9003,12,72,Polo Shirt,L,Red,Cotton,No,No,10
2017-01-01,9004,24,384,Trousers,S,Green,Polyester,Yes,Yes,10
2017-01-02,1001,7,112,T-Shirts,XS,Black,Cotton,Yes,No,5
2017-01-02,1002,30,570,Top,XL,White,Polyester,No,Yes,11
2017-01-02,2001,43,473,Pants,XS,Blue,Cotton,No,Yes,10
2017-01-02,2002,16,112,Jeans,L,Black,Denim,No,No,7
2017-01-02,3001,36,180,Dress,XXS,White,Chiffon,No,Yes,6
2017-01-02,3002,45,225,Skirt,XL,Yellow,Cotton,Yes,Yes,13
2017-01-02,3003,42,210,Jumpsuit,XL,Blue,Silk,No,No,8
2017-01-02,4001,27,378,Sweater,XXS,Green,Wool,Yes,No,9
2017-01-02,4002,40,240,Cardigan,XXL,Blue,Cashmere,Yes,Yes,6
2017-01-02,5001,24,240,Blouse,XXL,Blue,Silk,No,No,5
2017-01-02,5002,24,168,Jacket,XL,Blue,Leather,No,No,13
2017-01-02,6001,25,400,Shorts,S,Black,Denim,No,Yes,12
2017-01-02,6002,36,252,Leggings,S,Black,Spandex,No,Yes,14
2017-01-02,7001,4,56,Coat,XS,Green,Wool,No,No,13
2017-01-02,7002,27,351,Parka,S,Black,Nylon,No,No,7
2017-01-02,7003,15,285,Trench Coat,S,Red,Cotton,No,No,7
2017-01-02,8001,39,741,Hoodie,XS,Green,Cotton,No,No,7
2017-01-02,8002,2,40,Sweatshirt,L,Yellow,Polyester,Yes,No,7
2017-01-02,9001,41,820,Blazer,M,Black,Cotton,Yes,No,14
2017-01-02,9002,21,273,Suit,XL,Green,Wool,No,No,10
2017-01-02,9003,50,800,Polo Shirt,M,Black,Cotton,No,Yes,8
2017-01-02,9004,10,100,Trousers,XXS,Red,Polyester,Yes,No,5
2017-01-03,1001,18,198,T-Shirts,XS,Green,Cotton,No,Yes,12
2017-01-03,1002,33,165,Top,M,White,Polyester,Yes,No,8
2017-01-03,2001,9,90,Pants,XXL,White,Cotton,Yes,No,5
2017-01-03,2002,4,40,Jeans,XXS,Black,Denim,No,No,10
2017-01-03,3001,3,39,Dress,XXL,Yellow,Chiffon,No,No,5
2017-01-03,3002,37,481,Skirt,M,Blue,Cotton,No,No,12
2017-01-03,3003,20,300,Jumpsuit,XS,White,Silk,Yes,Yes,13
2017-01-03,4001,45,270,Sweater,XS,Red,Wool,Yes,Yes,5
2017-01-03,4002,4,80,Cardigan,L,Black,Cashmere,No,No,10
2017-01-03,5001,10,60,Blouse,XXL,Blue,Silk,Yes,Yes,7
2017-01-03,5002,29,377,Jacket,S,Yellow,Leather,Yes,Yes,7
2017-01-03,6001,24,240,Shorts,L,Green,Denim,No,Yes,5
2017-01-03,6002,38,494,Leggings,XL,Yellow,Spandex,Yes,No,12
2017-01-03,7001,8,144,Coat,L,Green,Wool,Yes,Yes,5
2017-01-03,7002,13,117,Parka,XXS,Green,Nylon,Yes,Yes,13
2017-01-03,7003,50,1000,Trench Coat,XXL,Red,Cotton,No,Yes,9
2017-01-03,8001,41,779,Hoodie,S,Black,Cotton,No,Yes,6
2017-01-03,8002,40,200,Sweatshirt,XXS,White,Polyester,No,No,14
2017-01-03,9001,49,441,Blazer,XXS,Red,Cotton,No,No,12
2017-01-03,9002,24,432,Suit,M,White,Wool,No,No,5
2017-01-03,9003,27,162,Polo Shirt,XXS,White,Cotton,No,Yes,13
2017-01-03,9004,36,576,Trousers,M,Green,Polyester,No,Yes,7
2017-01-04,1001,44,352,T-Shirts,XXL,White,Cotton,No,No,13
2017-01-04,1002,27,135,Top,XL,Yellow,Polyester,Yes,Yes,5
2017-01-04,2001,6,114,Pants,M,Black,Cotton,No,No,7
2017-01-04,2002,33,198,Jeans,XXS,Blue,Denim,Yes,No,12
2017-01-04,3001,30,240,Dress,M,Red,Chiffon,No,No,5
2017-01-04,3002,3,39,Skirt,L,Yellow,Cotton,Yes,No,14
2017-01-04,3003,43,688,Jumpsuit,L,Green,Silk,No,Yes,8
2017-01-04,4001,6,102,Sweater,S,Red,Wool,Yes,Yes,13
2017-01-04,4002,16,144,Cardigan,M,Red,Cashmere,Yes,Yes,11
2017-01-04,5001,5,30,Blouse,XXL,Black,Silk,Yes,No,5
2017-01-04,5002,12,192,Jacket,S,Black,Leather,Yes,Yes,8
2017-01-04,6001,37,333,Shorts,XL,Black,Denim,Yes,Yes,9
2017-01-04,6002,2,10,Leggings,XS,Green,Spandex,Yes,No,12
2017-01-04,7001,34,306,Coat,XL,Green,Wool,No,Yes,5
2017-01-04,7002,40,520,Parka,XXL,Red,Nylon,Yes,Yes,10
2017-01-04,7003,29,464,Trench Coat,XXL,Green,Cotton,Yes,No,6
2017-01-04,8001,41,410,Hoodie,M,Yellow,Cotton,No,Yes,8
2017-01-04,8002,4,20,Sweatshirt,XS,Black,Polyester,No,No,12
2017-01-04,9001,15,90,Blazer,XXS,Red,Cotton,Yes,Yes,5
2017-01-04,9002,42,588,Suit,S,Yellow,Wool,No,No,8
2017-01-04,9003,8,112,Polo Shirt,XXS,Yellow,Cotton,No,Yes,13
2017-01-04,9004,23,276,Trousers,XXL,Black,Polyester,No,Yes,11
2017-01-05,1001,34,170,T-Shirts,M,Black,Cotton,Yes,Yes,7
2017-01-05,1002,10,60,Top,XXS,Yellow,Polyester,Yes,Yes,9
2017-01-05,2001,39,273,Pants,XS,Yellow,Cotton,Yes,Yes,8
2017-01-05,2002,37,592,Jeans,XXS,Blue,Denim,Yes,Yes,7
2017-01-05,3001,5,65,Dress,M,Yellow,Chiffon,Yes,Yes,8
2017-01-05,3002,5,50,Skirt,XXL,White,Cotton,No,No,11
2017-01-05,3003,35,665,Jumpsuit,XS,White,Silk,Yes,No,12
